num_voters,num_alternatives,0_winners,1_winners,2_winners,3_winners,4_winners,5_winners,6_winners,7_winners,8_winners,9_winners,10_winners,has_winner
2,2,0,50.036%,49.964%,0,0,0,0,0,0,0,0,100%
3,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
4,2,0,62.419%,37.581%,0,0,0,0,0,0,0,0,100%
5,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
6,2,0,68.686%,31.314%,0,0,0,0,0,0,0,0,100%
7,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
8,2,0,72.693%,27.307%,0,0,0,0,0,0,0,0,100%
9,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
10,2,0,75.43%,24.57%,0,0,0,0,0,0,0,0,100%
11,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
12,2,0,77.507%,22.493%,0,0,0,0,0,0,0,0,100%
13,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
14,2,0,79.01%,20.99%,0,0,0,0,0,0,0,0,100%
15,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
16,2,0,80.506%,19.494%,0,0,0,0,0,0,0,0,100%
17,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
18,2,0,81.624%,18.376%,0,0,0,0,0,0,0,0,100%
19,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
20,2,0,82.594%,17.406%,0,0,0,0,0,0,0,0,100%
21,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
22,2,0,83.271%,16.729%,0,0,0,0,0,0,0,0,100%
23,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
24,2,0,83.913%,16.087%,0,0,0,0,0,0,0,0,100%
25,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
26,2,0,84.469%,15.531%,0,0,0,0,0,0,0,0,100%
27,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
28,2,0,85.159%,14.841%,0,0,0,0,0,0,0,0,100%
29,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
30,2,0,85.361%,14.639%,0,0,0,0,0,0,0,0,100%
31,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
32,2,0,86.066%,13.934%,0,0,0,0,0,0,0,0,100%
33,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
34,2,0,86.454%,13.546%,0,0,0,0,0,0,0,0,100%
35,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
36,2,0,86.797%,13.203%,0,0,0,0,0,0,0,0,100%
37,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
38,2,0,87.107%,12.893%,0,0,0,0,0,0,0,0,100%
39,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
40,2,0,87.28%,12.72%,0,0,0,0,0,0,0,0,100%
41,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
42,2,0,87.75%,12.25%,0,0,0,0,0,0,0,0,100%
43,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
44,2,0,88.1%,11.9%,0,0,0,0,0,0,0,0,100%
45,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
46,2,0,88.192%,11.808%,0,0,0,0,0,0,0,0,100%
47,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
48,2,0,88.505%,11.495%,0,0,0,0,0,0,0,0,100%
49,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
50,2,0,88.696%,11.304%,0,0,0,0,0,0,0,0,100%
51,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
52,2,0,89.056%,10.944%,0,0,0,0,0,0,0,0,100%
53,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
54,2,0,89.059%,10.941%,0,0,0,0,0,0,0,0,100%
55,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
56,2,0,89.373%,10.627%,0,0,0,0,0,0,0,0,100%
57,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
58,2,0,89.509%,10.491%,0,0,0,0,0,0,0,0,100%
59,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
60,2,0,89.503%,10.497%,0,0,0,0,0,0,0,0,100%
61,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
62,2,0,89.949%,10.051%,0,0,0,0,0,0,0,0,100%
63,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
64,2,0,90.156%,9.844%,0,0,0,0,0,0,0,0,100%
65,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
66,2,0,90.346%,9.654%,0,0,0,0,0,0,0,0,100%
67,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
68,2,0,90.214%,9.786%,0,0,0,0,0,0,0,0,100%
69,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
70,2,0,90.517%,9.483%,0,0,0,0,0,0,0,0,100%
71,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
72,2,0,90.653%,9.347%,0,0,0,0,0,0,0,0,100%
73,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
74,2,0,90.813%,9.187%,0,0,0,0,0,0,0,0,100%
75,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
76,2,0,90.825%,9.175%,0,0,0,0,0,0,0,0,100%
77,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
78,2,0,90.824%,9.176%,0,0,0,0,0,0,0,0,100%
79,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
80,2,0,90.84%,9.16%,0,0,0,0,0,0,0,0,100%
81,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
82,2,0,91.284%,8.716%,0,0,0,0,0,0,0,0,100%
83,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
84,2,0,91.317%,8.683%,0,0,0,0,0,0,0,0,100%
85,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
86,2,0,91.286%,8.714%,0,0,0,0,0,0,0,0,100%
87,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
88,2,0,91.674%,8.326%,0,0,0,0,0,0,0,0,100%
89,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
90,2,0,91.639%,8.361%,0,0,0,0,0,0,0,0,100%
91,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
92,2,0,91.684%,8.316%,0,0,0,0,0,0,0,0,100%
93,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
94,2,0,91.876%,8.124%,0,0,0,0,0,0,0,0,100%
95,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
96,2,0,91.826%,8.174%,0,0,0,0,0,0,0,0,100%
97,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
98,2,0,91.962%,8.038%,0,0,0,0,0,0,0,0,100%
99,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
100,2,0,91.975%,8.025%,0,0,0,0,0,0,0,0,100%
2,3,0,33.32%,49.681%,16.999%,0,0,0,0,0,0,0,100%
3,3,5.619%,94.381%,0,0,0,0,0,0,0,0,0,94.381%
4,3,0,50.086%,42.989%,6.925%,0,0,0,0,0,0,0,100%
5,3,6.929%,93.071%,0,0,0,0,0,0,0,0,0,93.071%
6,3,0.378%,58.347%,37.228%,4.047%,0,0,0,0,0,0,0,99.622%
7,3,7.476%,92.524%,0,0,0,0,0,0,0,0,0,92.524%
8,3,0.766%,63.79%,32.753%,2.691%,0,0,0,0,0,0,0,99.234%
9,3,7.794%,92.206%,0,0,0,0,0,0,0,0,0,92.206%
10,3,1.178%,67.301%,29.505%,2.016%,0,0,0,0,0,0,0,98.822%
11,3,8.138%,91.862%,0,0,0,0,0,0,0,0,0,91.862%
12,3,1.436%,69.927%,27.126%,1.511%,0,0,0,0,0,0,0,98.564%
13,3,8.086%,91.914%,0,0,0,0,0,0,0,0,0,91.914%
14,3,1.798%,72.067%,24.927%,1.208%,0,0,0,0,0,0,0,98.202%
15,3,8.22%,91.78%,0,0,0,0,0,0,0,0,0,91.78%
16,3,2.089%,73.727%,23.256%,0.928%,0,0,0,0,0,0,0,97.911%
17,3,8.323%,91.677%,0,0,0,0,0,0,0,0,0,91.67699999999999%
18,3,2.303%,74.818%,22.01%,0.869%,0,0,0,0,0,0,0,97.697%
19,3,8.294%,91.706%,0,0,0,0,0,0,0,0,0,91.706%
20,3,2.608%,75.821%,20.878%,0.693%,0,0,0,0,0,0,0,97.392%
21,3,8.309%,91.691%,0,0,0,0,0,0,0,0,0,91.691%
22,3,2.765%,76.666%,19.958%,0.611%,0,0,0,0,0,0,0,97.235%
23,3,8.554%,91.446%,0,0,0,0,0,0,0,0,0,91.446%
24,3,2.884%,77.9%,18.68%,0.536%,0,0,0,0,0,0,0,97.116%
25,3,8.578%,91.422%,0,0,0,0,0,0,0,0,0,91.422%
26,3,2.929%,78.368%,18.209%,0.494%,0,0,0,0,0,0,0,97.071%
27,3,8.489%,91.511%,0,0,0,0,0,0,0,0,0,91.511%
28,3,3.188%,79.006%,17.381%,0.425%,0,0,0,0,0,0,0,96.812%
29,3,8.478%,91.522%,0,0,0,0,0,0,0,0,0,91.522%
30,3,3.358%,79.5%,16.74%,0.402%,0,0,0,0,0,0,0,96.642%
31,3,8.45%,91.55%,0,0,0,0,0,0,0,0,0,91.55%
32,3,3.326%,80.068%,16.241%,0.365%,0,0,0,0,0,0,0,96.674%
33,3,8.484%,91.516%,0,0,0,0,0,0,0,0,0,91.516%
34,3,3.508%,80.277%,15.891%,0.324%,0,0,0,0,0,0,0,96.492%
35,3,8.733%,91.267%,0,0,0,0,0,0,0,0,0,91.267%
36,3,3.768%,80.869%,15.068%,0.295%,0,0,0,0,0,0,0,96.232%
37,3,8.537%,91.463%,0,0,0,0,0,0,0,0,0,91.463%
38,3,3.761%,81.133%,14.832%,0.274%,0,0,0,0,0,0,0,96.239%
39,3,8.554%,91.446%,0,0,0,0,0,0,0,0,0,91.446%
40,3,3.745%,81.686%,14.286%,0.283%,0,0,0,0,0,0,0,96.255%
41,3,8.594%,91.406%,0,0,0,0,0,0,0,0,0,91.406%
42,3,3.948%,81.785%,14.046%,0.221%,0,0,0,0,0,0,0,96.052%
43,3,8.63%,91.37%,0,0,0,0,0,0,0,0,0,91.37%
44,3,3.901%,82.192%,13.719%,0.188%,0,0,0,0,0,0,0,96.099%
45,3,8.605%,91.395%,0,0,0,0,0,0,0,0,0,91.395%
46,3,4.0%,82.447%,13.358%,0.195%,0,0,0,0,0,0,0,96.0%
47,3,8.581%,91.419%,0,0,0,0,0,0,0,0,0,91.419%
48,3,4.238%,82.594%,12.966%,0.202%,0,0,0,0,0,0,0,95.762%
49,3,8.594%,91.406%,0,0,0,0,0,0,0,0,0,91.406%
50,3,4.21%,82.761%,12.837%,0.192%,0,0,0,0,0,0,0,95.79%
51,3,8.559%,91.441%,0,0,0,0,0,0,0,0,0,91.441%
52,3,4.449%,83.138%,12.256%,0.157%,0,0,0,0,0,0,0,95.551%
53,3,8.506%,91.494%,0,0,0,0,0,0,0,0,0,91.494%
54,3,4.42%,83.252%,12.176%,0.152%,0,0,0,0,0,0,0,95.58%
55,3,8.598%,91.402%,0,0,0,0,0,0,0,0,0,91.402%
56,3,4.472%,83.296%,12.088%,0.144%,0,0,0,0,0,0,0,95.528%
57,3,8.588%,91.412%,0,0,0,0,0,0,0,0,0,91.412%
58,3,4.549%,83.414%,11.903%,0.134%,0,0,0,0,0,0,0,95.451%
59,3,8.715%,91.285%,0,0,0,0,0,0,0,0,0,91.285%
60,3,4.568%,83.801%,11.508%,0.123%,0,0,0,0,0,0,0,95.432%
61,3,8.632%,91.368%,0,0,0,0,0,0,0,0,0,91.368%
62,3,4.598%,83.745%,11.528%,0.129%,0,0,0,0,0,0,0,95.402%
63,3,8.652%,91.348%,0,0,0,0,0,0,0,0,0,91.348%
64,3,4.788%,84.044%,11.04%,0.128%,0,0,0,0,0,0,0,95.212%
65,3,8.659%,91.341%,0,0,0,0,0,0,0,0,0,91.341%
66,3,4.782%,84.259%,10.844%,0.115%,0,0,0,0,0,0,0,95.218%
67,3,8.668%,91.332%,0,0,0,0,0,0,0,0,0,91.332%
68,3,4.857%,84.335%,10.692%,0.116%,0,0,0,0,0,0,0,95.143%
69,3,8.65%,91.35%,0,0,0,0,0,0,0,0,0,91.35%
70,3,4.841%,84.16%,10.899%,0.1%,0,0,0,0,0,0,0,95.159%
71,3,8.548%,91.452%,0,0,0,0,0,0,0,0,0,91.452%
72,3,4.829%,84.561%,10.489%,0.121%,0,0,0,0,0,0,0,95.171%
73,3,8.625%,91.375%,0,0,0,0,0,0,0,0,0,91.375%
74,3,4.922%,84.637%,10.325%,0.116%,0,0,0,0,0,0,0,95.078%
75,3,8.739%,91.261%,0,0,0,0,0,0,0,0,0,91.261%
76,3,4.895%,84.72%,10.272%,0.113%,0,0,0,0,0,0,0,95.105%
77,3,8.727%,91.273%,0,0,0,0,0,0,0,0,0,91.273%
78,3,5.104%,84.783%,10.021%,0.092%,0,0,0,0,0,0,0,94.896%
79,3,8.633%,91.367%,0,0,0,0,0,0,0,0,0,91.367%
80,3,4.981%,84.955%,9.955%,0.109%,0,0,0,0,0,0,0,95.019%
81,3,8.596%,91.404%,0,0,0,0,0,0,0,0,0,91.404%
82,3,5.066%,84.962%,9.867%,0.105%,0,0,0,0,0,0,0,94.934%
83,3,8.69%,91.31%,0,0,0,0,0,0,0,0,0,91.31%
84,3,5.057%,85.287%,9.564%,0.092%,0,0,0,0,0,0,0,94.943%
85,3,8.734%,91.266%,0,0,0,0,0,0,0,0,0,91.266%
86,3,5.125%,85.18%,9.61%,0.085%,0,0,0,0,0,0,0,94.875%
87,3,8.724%,91.276%,0,0,0,0,0,0,0,0,0,91.276%
88,3,5.188%,85.382%,9.355%,0.075%,0,0,0,0,0,0,0,94.812%
89,3,8.694%,91.306%,0,0,0,0,0,0,0,0,0,91.306%
90,3,5.218%,85.404%,9.3%,0.078%,0,0,0,0,0,0,0,94.782%
91,3,8.797%,91.203%,0,0,0,0,0,0,0,0,0,91.203%
92,3,5.265%,85.6%,9.039%,0.096%,0,0,0,0,0,0,0,94.735%
93,3,8.611%,91.389%,0,0,0,0,0,0,0,0,0,91.389%
94,3,5.244%,85.59%,9.107%,0.059%,0,0,0,0,0,0,0,94.756%
95,3,8.568%,91.432%,0,0,0,0,0,0,0,0,0,91.432%
96,3,5.199%,85.747%,8.991%,0.063%,0,0,0,0,0,0,0,94.801%
97,3,8.603%,91.397%,0,0,0,0,0,0,0,0,0,91.397%
98,3,5.464%,85.615%,8.847%,0.074%,0,0,0,0,0,0,0,94.536%
99,3,8.753%,91.247%,0,0,0,0,0,0,0,0,0,91.247%
100,3,5.344%,85.672%,8.925%,0.059%,0,0,0,0,0,0,0,94.656%
2,4,0,25.006%,45.651%,25.293%,4.05%,0,0,0,0,0,0,100%
3,4,11.182%,88.818%,0,0,0,0,0,0,0,0,0,88.818%
4,4,0.047%,43.837%,44.352%,11.051%,0.713%,0,0,0,0,0,0,99.953%
5,4,13.771%,86.229%,0,0,0,0,0,0,0,0,0,86.229%
6,4,0.863%,53.879%,38.861%,6.178%,0.219%,0,0,0,0,0,0,99.137%
7,4,15.021%,84.979%,0,0,0,0,0,0,0,0,0,84.979%
8,4,1.712%,59.914%,34.286%,3.987%,0.101%,0,0,0,0,0,0,98.288%
9,4,15.49%,84.51%,0,0,0,0,0,0,0,0,0,84.51%
10,4,2.534%,63.635%,30.939%,2.834%,0.058%,0,0,0,0,0,0,97.466%
11,4,16.002%,83.998%,0,0,0,0,0,0,0,0,0,83.998%
12,4,3.16%,66.843%,27.819%,2.145%,0.033%,0,0,0,0,0,0,96.84%
13,4,16.152%,83.848%,0,0,0,0,0,0,0,0,0,83.848%
14,4,3.87%,68.973%,25.468%,1.672%,0.017%,0,0,0,0,0,0,96.13%
15,4,16.392%,83.608%,0,0,0,0,0,0,0,0,0,83.608%
16,4,4.401%,70.641%,23.62%,1.321%,0.017%,0,0,0,0,0,0,95.599%
17,4,16.45%,83.55%,0,0,0,0,0,0,0,0,0,83.55%
18,4,4.946%,71.666%,22.249%,1.129%,0.01%,0,0,0,0,0,0,95.054%
19,4,16.848%,83.152%,0,0,0,0,0,0,0,0,0,83.152%
20,4,5.313%,72.705%,20.967%,1.004%,0.011%,0,0,0,0,0,0,94.687%
21,4,16.555%,83.445%,0,0,0,0,0,0,0,0,0,83.445%
22,4,5.873%,73.538%,19.72%,0.861%,0.008%,0,0,0,0,0,0,94.127%
23,4,16.867%,83.133%,0,0,0,0,0,0,0,0,0,83.133%
24,4,6.004%,74.284%,18.949%,0.76%,0.003%,0,0,0,0,0,0,93.996%
25,4,16.761%,83.239%,0,0,0,0,0,0,0,0,0,83.239%
26,4,6.402%,75.162%,17.776%,0.654%,0.006%,0,0,0,0,0,0,93.598%
27,4,16.906%,83.094%,0,0,0,0,0,0,0,0,0,83.094%
28,4,6.739%,75.38%,17.304%,0.575%,0.002%,0,0,0,0,0,0,93.261%
29,4,16.861%,83.139%,0,0,0,0,0,0,0,0,0,83.139%
30,4,7.068%,76.04%,16.383%,0.508%,0.001%,0,0,0,0,0,0,92.932%
31,4,17.113%,82.887%,0,0,0,0,0,0,0,0,0,82.887%
32,4,7.297%,76.261%,15.968%,0.471%,0.003%,0,0,0,0,0,0,92.703%
33,4,17.05%,82.95%,0,0,0,0,0,0,0,0,0,82.95%
34,4,7.622%,76.674%,15.265%,0.439%,0,0,0,0,0,0,0,92.378%
35,4,17.017%,82.983%,0,0,0,0,0,0,0,0,0,82.983%
36,4,7.606%,77.05%,14.972%,0.368%,0.004%,0,0,0,0,0,0,92.394%
37,4,17.017%,82.983%,0,0,0,0,0,0,0,0,0,82.983%
38,4,8.053%,77.428%,14.16%,0.358%,0.001%,0,0,0,0,0,0,91.947%
39,4,17.141%,82.859%,0,0,0,0,0,0,0,0,0,82.85900000000001%
40,4,8.169%,77.602%,13.898%,0.331%,0,0,0,0,0,0,0,91.831%
41,4,17.185%,82.815%,0,0,0,0,0,0,0,0,0,82.815%
42,4,8.358%,77.627%,13.68%,0.335%,0,0,0,0,0,0,0,91.642%
43,4,17.154%,82.846%,0,0,0,0,0,0,0,0,0,82.846%
44,4,8.374%,78.239%,13.083%,0.304%,0,0,0,0,0,0,0,91.626%
45,4,17.212%,82.788%,0,0,0,0,0,0,0,0,0,82.788%
46,4,8.684%,78.099%,12.962%,0.255%,0,0,0,0,0,0,0,91.316%
47,4,17.058%,82.942%,0,0,0,0,0,0,0,0,0,82.94200000000001%
48,4,8.819%,78.379%,12.552%,0.25%,0,0,0,0,0,0,0,91.181%
49,4,17.278%,82.722%,0,0,0,0,0,0,0,0,0,82.72200000000001%
50,4,8.968%,78.714%,12.078%,0.24%,0,0,0,0,0,0,0,91.032%
51,4,17.111%,82.889%,0,0,0,0,0,0,0,0,0,82.889%
52,4,9.256%,78.587%,11.939%,0.214%,0.004%,0,0,0,0,0,0,90.744%
53,4,17.102%,82.898%,0,0,0,0,0,0,0,0,0,82.898%
54,4,9.221%,78.916%,11.669%,0.194%,0,0,0,0,0,0,0,90.779%
55,4,17.406%,82.594%,0,0,0,0,0,0,0,0,0,82.594%
56,4,9.334%,78.952%,11.531%,0.183%,0,0,0,0,0,0,0,90.666%
57,4,17.409%,82.591%,0,0,0,0,0,0,0,0,0,82.59100000000001%
58,4,9.271%,79.458%,11.098%,0.173%,0,0,0,0,0,0,0,90.729%
59,4,17.313%,82.687%,0,0,0,0,0,0,0,0,0,82.687%
60,4,9.495%,79.357%,10.979%,0.169%,0,0,0,0,0,0,0,90.505%
61,4,17.335%,82.665%,0,0,0,0,0,0,0,0,0,82.66499999999999%
62,4,9.766%,79.29%,10.79%,0.153%,0.001%,0,0,0,0,0,0,90.234%
63,4,17.369%,82.631%,0,0,0,0,0,0,0,0,0,82.631%
64,4,9.805%,79.458%,10.606%,0.131%,0,0,0,0,0,0,0,90.195%
65,4,17.301%,82.699%,0,0,0,0,0,0,0,0,0,82.699%
66,4,9.91%,79.554%,10.402%,0.134%,0,0,0,0,0,0,0,90.09%
67,4,17.536%,82.464%,0,0,0,0,0,0,0,0,0,82.464%
68,4,9.889%,79.905%,10.054%,0.152%,0,0,0,0,0,0,0,90.111%
69,4,17.519%,82.481%,0,0,0,0,0,0,0,0,0,82.481%
70,4,10.066%,79.859%,9.933%,0.142%,0,0,0,0,0,0,0,89.934%
71,4,17.233%,82.767%,0,0,0,0,0,0,0,0,0,82.767%
72,4,10.0%,79.943%,9.914%,0.142%,0.001%,0,0,0,0,0,0,90.0%
73,4,17.243%,82.757%,0,0,0,0,0,0,0,0,0,82.757%
74,4,10.103%,79.836%,9.935%,0.126%,0,0,0,0,0,0,0,89.897%
75,4,17.057%,82.943%,0,0,0,0,0,0,0,0,0,82.943%
76,4,10.268%,80.113%,9.518%,0.101%,0,0,0,0,0,0,0,89.732%
77,4,17.158%,82.842%,0,0,0,0,0,0,0,0,0,82.842%
78,4,10.436%,80.142%,9.315%,0.107%,0,0,0,0,0,0,0,89.564%
79,4,17.321%,82.679%,0,0,0,0,0,0,0,0,0,82.679%
80,4,10.641%,80.06%,9.188%,0.11%,0.001%,0,0,0,0,0,0,89.359%
81,4,17.378%,82.622%,0,0,0,0,0,0,0,0,0,82.622%
82,4,10.767%,79.904%,9.225%,0.104%,0,0,0,0,0,0,0,89.233%
83,4,17.317%,82.683%,0,0,0,0,0,0,0,0,0,82.68299999999999%
84,4,10.649%,80.18%,9.074%,0.097%,0,0,0,0,0,0,0,89.351%
85,4,17.258%,82.742%,0,0,0,0,0,0,0,0,0,82.742%
86,4,10.689%,80.224%,9.006%,0.081%,0,0,0,0,0,0,0,89.311%
87,4,17.348%,82.652%,0,0,0,0,0,0,0,0,0,82.652%
88,4,10.857%,80.202%,8.861%,0.08%,0,0,0,0,0,0,0,89.143%
89,4,17.521%,82.479%,0,0,0,0,0,0,0,0,0,82.479%
90,4,10.963%,80.318%,8.638%,0.081%,0,0,0,0,0,0,0,89.037%
91,4,17.27%,82.73%,0,0,0,0,0,0,0,0,0,82.73%
92,4,10.842%,80.497%,8.573%,0.088%,0,0,0,0,0,0,0,89.158%
93,4,17.438%,82.562%,0,0,0,0,0,0,0,0,0,82.562%
94,4,11.024%,80.29%,8.599%,0.087%,0,0,0,0,0,0,0,88.976%
95,4,17.299%,82.701%,0,0,0,0,0,0,0,0,0,82.701%
96,4,11.13%,80.506%,8.28%,0.084%,0,0,0,0,0,0,0,88.87%
97,4,17.522%,82.478%,0,0,0,0,0,0,0,0,0,82.47800000000001%
98,4,11.009%,80.413%,8.509%,0.069%,0,0,0,0,0,0,0,88.991%
99,4,17.399%,82.601%,0,0,0,0,0,0,0,0,0,82.601%
100,4,11.122%,80.595%,8.196%,0.087%,0,0,0,0,0,0,0,88.878%
2,5,0,19.869%,41.738%,29.36%,8.245%,0.788%,0,0,0,0,0,100%
3,5,16.116%,83.884%,0,0,0,0,0,0,0,0,0,83.884%
4,5,0.118%,40.198%,44.736%,13.529%,1.378%,0.041%,0,0,0,0,0,99.882%
5,5,19.996%,80.004%,0,0,0,0,0,0,0,0,0,80.004%
6,5,1.293%,51.635%,39.108%,7.501%,0.455%,0.008%,0,0,0,0,0,98.707%
7,5,21.519%,78.481%,0,0,0,0,0,0,0,0,0,78.481%
8,5,2.753%,58.075%,34.314%,4.682%,0.176%,0,0,0,0,0,0,97.247%
9,5,22.16%,77.84%,0,0,0,0,0,0,0,0,0,77.84%
10,5,4.01%,62.247%,30.507%,3.159%,0.076%,0.001%,0,0,0,0,0,95.99%
11,5,22.837%,77.163%,0,0,0,0,0,0,0,0,0,77.163%
12,5,5.094%,64.95%,27.582%,2.316%,0.058%,0,0,0,0,0,0,94.906%
13,5,23.054%,76.946%,0,0,0,0,0,0,0,0,0,76.946%
14,5,5.897%,67.185%,25.083%,1.803%,0.032%,0,0,0,0,0,0,94.103%
15,5,23.603%,76.397%,0,0,0,0,0,0,0,0,0,76.39699999999999%
16,5,7.016%,68.417%,23.059%,1.487%,0.021%,0,0,0,0,0,0,92.984%
17,5,23.564%,76.436%,0,0,0,0,0,0,0,0,0,76.436%
18,5,7.428%,69.82%,21.561%,1.173%,0.018%,0,0,0,0,0,0,92.572%
19,5,24.008%,75.992%,0,0,0,0,0,0,0,0,0,75.992%
20,5,8.329%,70.723%,19.936%,1.002%,0.01%,0,0,0,0,0,0,91.67099999999999%
