num_voters,num_alternatives,has_winner
2,2,50.74%
3,2,100.0%
4,2,62.04%
5,2,100.0%
6,2,68.89%
7,2,100.0%
8,2,72.92%
9,2,100.0%
10,2,75.24%
11,2,100.0%
12,2,76.87%
13,2,100.0%
14,2,79.09%
15,2,100.0%
16,2,79.95%
17,2,100.0%
18,2,81.17%
19,2,100.0%
20,2,82.89%
21,2,100.0%
22,2,83.01%
23,2,100.0%
24,2,83.58%
25,2,100.0%
26,2,84.68%
27,2,100.0%
28,2,85.23%
29,2,100.0%
30,2,85.28%
31,2,100.0%
32,2,85.84%
33,2,100.0%
34,2,86.02%
35,2,100.0%
36,2,86.53%
37,2,100.0%
38,2,87.11%
39,2,100.0%
40,2,86.91%
41,2,100.0%
42,2,87.52%
43,2,100.0%
44,2,88.01%
45,2,100.0%
46,2,88.63%
47,2,100.0%
48,2,87.99%
49,2,100.0%
50,2,88.7%
51,2,100.0%
52,2,89.46%
53,2,100.0%
54,2,89.32%
55,2,100.0%
56,2,89.4%
57,2,100.0%
58,2,89.73%
59,2,100.0%
60,2,89.84%
61,2,100.0%
62,2,89.52%
63,2,100.0%
64,2,90.25%
65,2,100.0%
66,2,90.37%
67,2,100.0%
68,2,90.64%
69,2,100.0%
70,2,90.82%
71,2,100.0%
72,2,90.43%
73,2,100.0%
74,2,90.4%
75,2,100.0%
76,2,90.5%
77,2,100.0%
78,2,91.17%
79,2,100.0%
80,2,90.5%
81,2,100.0%
82,2,90.85%
83,2,100.0%
84,2,90.98%
85,2,100.0%
86,2,91.64%
87,2,100.0%
88,2,91.65%
89,2,100.0%
90,2,91.46%
91,2,100.0%
92,2,91.9%
93,2,100.0%
94,2,91.69%
95,2,100.0%
96,2,91.82%
97,2,100.0%
98,2,92.23%
99,2,100.0%
100,2,91.98%
2,3,33.29%
3,3,77.45%
4,3,78.52%
5,3,100.0%
6,3,79.16%
7,3,100.0%
8,3,83.75%
9,3,81.81%
10,3,90.6%
11,3,94.83%
12,3,88.27%
13,3,96.46%
14,3,91.14%
15,3,85.89%
16,3,92.64%
17,3,94.47%
18,3,90.52%
19,3,96.03%
20,3,93.28%
21,3,88.75%
22,3,93.97%
23,3,94.71%
24,3,92.2%
25,3,96.39%
26,3,94.19%
27,3,91.01%
28,3,94.06%
29,3,94.8%
30,3,92.71%
31,3,95.98%
32,3,94.99%
33,3,92.67%
34,3,94.91%
35,3,95.33%
36,3,93.71%
37,3,96.21%
38,3,95.98%
39,3,93.02%
40,3,95.03%
41,3,95.73%
42,3,94.34%
43,3,96.49%
44,3,95.59%
45,3,93.59%
46,3,95.85%
47,3,95.64%
48,3,94.59%
49,3,96.58%
50,3,96.12%
51,3,94.31%
52,3,95.75%
53,3,95.91%
54,3,95.18%
55,3,96.8%
56,3,96.4%
57,3,94.74%
58,3,96.16%
59,3,96.51%
60,3,95.31%
61,3,96.89%
62,3,96.51%
63,3,95.37%
64,3,96.56%
65,3,96.42%
66,3,95.26%
67,3,97.27%
68,3,96.8%
69,3,95.12%
70,3,96.28%
71,3,96.4%
72,3,95.6%
73,3,97.2%
74,3,96.7%
75,3,95.56%
76,3,96.51%
77,3,96.93%
78,3,95.69%
79,3,97.31%
80,3,96.96%
81,3,95.42%
82,3,96.56%
83,3,96.92%
84,3,96.3%
85,3,97.07%
86,3,96.66%
87,3,96.24%
88,3,96.89%
89,3,96.88%
90,3,96.01%
91,3,97.51%
92,3,97.14%
93,3,95.61%
94,3,97.21%
95,3,97.15%
96,3,96.11%
97,3,97.17%
98,3,97.34%
99,3,96.43%
100,3,97.04%
2,4,25.42%
3,4,62.68%
4,4,76.84%
5,4,100.0%
6,4,74.74%
7,4,92.13%
8,4,85.2%
9,4,90.68%
10,4,90.25%
11,4,89.28%
12,4,86.32%
13,4,91.8%
14,4,91.09%
15,4,89.99%
16,4,90.0%
17,4,94.15%
18,4,91.73%
19,4,91.91%
20,4,91.63%
21,4,92.96%
22,4,92.8%
23,4,92.77%
24,4,92.5%
25,4,93.95%
26,4,93.62%
27,4,93.4%
28,4,92.58%
29,4,94.75%
30,4,94.5%
31,4,94.55%
32,4,93.86%
33,4,95.1%
34,4,94.43%
35,4,94.34%
36,4,94.04%
37,4,94.48%
38,4,94.81%
39,4,94.45%
40,4,94.21%
41,4,95.47%
42,4,95.33%
43,4,95.63%
44,4,94.81%
45,4,95.2%
46,4,95.29%
47,4,95.27%
48,4,94.99%
49,4,96.02%
50,4,95.85%
51,4,95.57%
52,4,94.91%
53,4,96.07%
54,4,95.68%
55,4,96.04%
56,4,95.61%
57,4,95.72%
58,4,95.78%
59,4,95.81%
60,4,95.76%
61,4,96.3%
62,4,96.15%
63,4,96.16%
64,4,95.74%
65,4,96.24%
66,4,96.1%
67,4,96.28%
68,4,96.08%
69,4,96.37%
70,4,96.47%
71,4,96.33%
72,4,96.35%
73,4,96.57%
74,4,96.77%
75,4,96.5%
76,4,96.07%
77,4,96.85%
78,4,96.53%
79,4,96.53%
80,4,96.43%
81,4,96.44%
82,4,96.72%
83,4,96.43%
84,4,96.65%
85,4,96.91%
86,4,97.06%
87,4,96.66%
88,4,96.56%
89,4,96.62%
90,4,96.73%
91,4,96.75%
92,4,96.81%
93,4,96.73%
94,4,97.15%
95,4,97.04%
96,4,96.78%
97,4,96.63%
98,4,96.97%
99,4,96.83%
100,4,96.93%
2,5,20.26%
3,5,51.97%
4,5,72.02%
5,5,96.12%
6,5,76.23%
7,5,100.0%
8,5,81.85%
9,5,96.45%
10,5,89.14%
11,5,95.58%
12,5,90.74%
13,5,92.73%
14,5,91.8%
15,5,92.66%
16,5,92.89%
17,5,94.13%
18,5,94.17%
19,5,94.85%
20,5,93.56%
21,5,94.61%
22,5,95.16%
23,5,94.42%
24,5,94.4%
25,5,94.1%
26,5,95.08%
27,5,95.64%
28,5,94.84%
29,5,95.52%
30,5,95.26%
31,5,95.73%
32,5,95.65%
33,5,95.69%
34,5,95.81%
35,5,95.34%
36,5,95.56%
37,5,95.45%
38,5,95.56%
39,5,96.32%
40,5,96.11%
41,5,96.23%
42,5,96.24%
43,5,96.4%
44,5,96.03%
45,5,96.1%
46,5,96.14%
47,5,96.13%
48,5,96.37%
49,5,96.63%
50,5,96.35%
51,5,96.85%
52,5,96.65%
53,5,96.74%
54,5,96.76%
55,5,96.72%
56,5,96.78%
57,5,96.75%
58,5,96.52%
59,5,96.7%
60,5,97.05%
61,5,97.02%
62,5,96.67%
63,5,97.0%
64,5,96.82%
65,5,96.77%
66,5,96.82%
67,5,97.01%
68,5,96.89%
69,5,96.96%
70,5,97.06%
71,5,97.03%
72,5,97.21%
73,5,97.16%
74,5,97.12%
75,5,97.05%
76,5,96.93%
77,5,97.18%
78,5,97.33%
79,5,97.3%
80,5,97.11%
81,5,97.41%
82,5,97.23%
83,5,97.38%
84,5,96.93%
85,5,97.11%
86,5,97.2%
87,5,97.3%
88,5,97.31%
89,5,97.25%
90,5,97.47%
91,5,97.39%
92,5,97.37%
93,5,97.3%
94,5,97.5%
95,5,97.31%
96,5,97.78%
97,5,97.36%
98,5,97.6%
99,5,97.41%
100,5,97.54%
2,6,16.2%
3,6,43.92%
4,6,64.77%
5,6,90.68%
6,6,76.17%
7,6,100.0%
8,6,77.66%
9,6,89.04%
10,6,85.98%
11,6,92.06%
12,6,90.65%
13,6,92.41%
14,6,91.89%
15,6,92.36%
16,6,92.97%
17,6,94.56%
18,6,93.54%
19,6,95.06%
20,6,94.15%
21,6,94.91%
22,6,94.48%
23,6,95.18%
24,6,94.35%
25,6,95.24%
26,6,94.86%
27,6,95.26%
28,6,95.58%
29,6,96.0%
30,6,95.2%
31,6,95.98%
32,6,95.56%
33,6,96.04%
34,6,95.76%
35,6,96.04%
36,6,95.89%
37,6,96.48%
38,6,96.18%
39,6,96.33%
40,6,96.15%
41,6,96.52%
42,6,96.32%
43,6,96.3%
44,6,96.5%
45,6,96.53%
46,6,96.61%
47,6,96.61%
48,6,96.37%
49,6,96.67%
50,6,96.7%
51,6,96.62%
52,6,96.54%
53,6,96.9%
54,6,97.07%
55,6,97.04%
56,6,96.79%
57,6,97.09%
58,6,96.69%
59,6,97.22%
60,6,96.76%
61,6,96.96%
62,6,96.96%
63,6,96.9%
64,6,96.95%
65,6,97.2%
66,6,97.31%
67,6,97.22%
68,6,97.04%
69,6,97.44%
70,6,97.13%
71,6,97.39%
72,6,97.4%
73,6,97.28%
74,6,97.12%
75,6,97.27%
76,6,97.11%
77,6,97.52%
78,6,97.34%
79,6,97.6%
80,6,97.31%
81,6,97.56%
82,6,97.38%
83,6,97.45%
84,6,97.55%
85,6,97.77%
86,6,97.37%
87,6,97.57%
88,6,97.03%
89,6,97.67%
90,6,97.54%
91,6,97.77%
92,6,97.58%
93,6,97.52%
94,6,97.52%
95,6,97.78%
96,6,97.66%
97,6,97.51%
98,6,97.52%
99,6,97.57%
100,6,97.69%
2,7,14.03%
3,7,38.98%
4,7,60.31%
5,7,84.91%
6,7,76.56%
7,7,99.26%
8,7,78.19%
9,7,90.35%
10,7,87.97%
11,7,91.27%
12,7,90.1%
13,7,93.69%
14,7,91.56%
15,7,92.75%
16,7,93.35%
17,7,93.93%
18,7,94.07%
19,7,94.34%
20,7,94.34%
21,7,94.72%
22,7,94.73%
23,7,95.51%
24,7,94.76%
25,7,95.39%
26,7,94.96%
27,7,95.99%
28,7,95.58%
29,7,95.28%
30,7,95.96%
31,7,95.79%
32,7,96.13%
33,7,96.17%
34,7,96.11%
35,7,96.36%
36,7,96.18%
37,7,96.38%
38,7,96.38%
39,7,96.37%
40,7,96.29%
41,7,96.8%
42,7,96.74%
43,7,96.62%
44,7,96.61%
45,7,96.71%
46,7,96.72%
47,7,96.55%
48,7,96.62%
49,7,96.79%
50,7,97.18%
51,7,96.57%
52,7,96.62%
53,7,97.03%
54,7,97.1%
55,7,97.06%
56,7,97.23%
57,7,96.83%
58,7,97.31%
59,7,97.32%
60,7,97.33%
61,7,97.23%
62,7,97.09%
63,7,97.13%
64,7,97.35%
65,7,97.32%
66,7,97.12%
67,7,97.46%
68,7,97.13%
69,7,97.47%
70,7,97.62%
71,7,97.42%
72,7,97.43%
73,7,97.49%
74,7,97.82%
75,7,97.56%
76,7,97.31%
77,7,97.78%
78,7,97.42%
79,7,97.65%
80,7,97.36%
81,7,97.67%
82,7,97.45%
83,7,97.83%
84,7,97.63%
85,7,97.45%
86,7,97.83%
87,7,97.94%
88,7,97.81%
89,7,97.71%
90,7,97.67%
91,7,97.87%
92,7,97.9%
93,7,97.58%
94,7,97.94%
95,7,97.67%
96,7,97.65%
97,7,98.09%
98,7,97.83%
99,7,97.99%
100,7,98.02%
2,8,12.42%
3,8,34.36%
4,8,55.13%
5,8,80.23%
6,8,76.59%
7,8,97.82%
8,8,77.64%
9,8,90.32%
10,8,86.0%
11,8,92.34%
12,8,88.01%
13,8,91.62%
14,8,90.29%
15,8,93.43%
16,8,92.72%
17,8,94.87%
18,8,94.23%
19,8,94.52%
20,8,94.62%
21,8,94.91%
22,8,94.9%
23,8,95.42%
24,8,94.89%
25,8,95.54%
26,8,95.31%
27,8,95.48%
28,8,95.54%
29,8,95.73%
30,8,95.79%
31,8,96.03%
32,8,96.21%
33,8,96.13%
34,8,96.47%
35,8,96.5%
36,8,96.05%
37,8,96.51%
38,8,96.69%
39,8,96.5%
40,8,96.42%
41,8,96.59%
42,8,96.84%
43,8,96.58%
44,8,96.62%
45,8,96.81%
46,8,97.03%
47,8,97.12%
48,8,96.74%
49,8,97.15%
50,8,97.14%
51,8,96.96%
52,8,96.94%
53,8,97.27%
54,8,97.15%
55,8,97.31%
56,8,97.32%
57,8,97.21%
58,8,97.18%
59,8,97.24%
60,8,97.39%
61,8,97.33%
62,8,97.34%
63,8,97.21%
64,8,97.42%
65,8,97.2%
66,8,97.3%
67,8,97.66%
68,8,97.68%
69,8,97.54%
70,8,97.49%
71,8,97.7%
72,8,97.76%
73,8,97.44%
74,8,97.4%
75,8,97.32%
76,8,97.34%
77,8,97.64%
78,8,97.6%
79,8,97.63%
80,8,97.63%
81,8,97.71%
82,8,97.45%
83,8,97.57%
84,8,97.98%
85,8,97.69%
86,8,97.82%
87,8,97.37%
88,8,97.9%
89,8,97.69%
90,8,97.91%
91,8,98.01%
92,8,97.65%
93,8,97.79%
94,8,97.79%
95,8,97.87%
96,8,97.76%
97,8,97.64%
98,8,97.93%
99,8,97.91%
100,8,98.09%
2,9,10.44%
3,9,31.5%
4,9,50.06%
5,9,73.75%
6,9,74.6%
7,9,95.99%
8,9,78.4%
9,9,90.52%
10,9,86.58%
11,9,93.51%
12,9,88.59%
13,9,91.95%
14,9,90.61%
15,9,92.74%
16,9,92.19%
17,9,93.85%
18,9,93.96%
19,9,95.0%
20,9,94.0%
21,9,94.33%
22,9,94.65%
23,9,95.33%
24,9,95.51%
25,9,95.4%
26,9,95.79%
27,9,95.6%
28,9,95.73%
29,9,96.14%
30,9,96.02%
31,9,96.06%
32,9,96.29%
33,9,96.55%
34,9,96.29%
35,9,96.58%
36,9,96.46%
37,9,96.26%
38,9,96.87%
39,9,96.69%
40,9,96.78%
41,9,96.64%
42,9,97.09%
43,9,97.09%
44,9,96.73%
45,9,96.52%
46,9,97.2%
47,9,96.96%
48,9,97.01%
49,9,97.03%
50,9,97.12%
51,9,97.1%
52,9,97.27%
53,9,97.3%
54,9,97.16%
55,9,97.13%
56,9,97.52%
57,9,97.54%
58,9,97.31%
59,9,97.66%
60,9,97.39%
61,9,97.41%
62,9,97.57%
63,9,97.57%
64,9,97.46%
65,9,97.85%
66,9,97.6%
67,9,97.64%
68,9,97.61%
69,9,97.43%
70,9,97.66%
71,9,97.57%
72,9,97.6%
73,9,97.5%
74,9,97.64%
75,9,97.93%
76,9,97.87%
77,9,97.83%
78,9,97.78%
79,9,98.0%
80,9,97.93%
81,9,97.66%
82,9,97.51%
83,9,98.17%
84,9,97.72%
85,9,98.07%
86,9,97.76%
87,9,97.78%
88,9,97.8%
89,9,97.66%
90,9,98.01%
91,9,98.14%
92,9,98.02%
93,9,97.67%
94,9,98.03%
95,9,98.01%
96,9,97.74%
97,9,97.94%
98,9,97.73%
99,9,97.83%
100,9,98.05%
2,10,10.14%
3,10,28.08%
4,10,47.32%
5,10,69.21%
6,10,71.79%
7,10,93.97%
8,10,77.99%
9,10,90.72%
10,10,85.6%
11,10,94.12%
12,10,87.82%
13,10,91.29%
14,10,89.69%
15,10,93.35%
16,10,92.52%
17,10,94.18%
18,10,93.41%
19,10,95.01%
20,10,94.17%
21,10,94.98%
22,10,94.98%
23,10,95.24%
24,10,95.28%
25,10,95.28%
26,10,95.05%
27,10,95.82%
28,10,95.17%
29,10,96.29%
30,10,96.46%
31,10,96.16%
32,10,96.39%
33,10,96.31%
34,10,96.3%
35,10,96.37%
36,10,96.54%
37,10,96.62%
38,10,96.65%
39,10,96.61%
40,10,96.71%
41,10,96.61%
42,10,97.34%
43,10,96.76%
44,10,97.12%
45,10,97.29%
46,10,97.12%
47,10,97.09%
48,10,97.19%
49,10,97.08%
50,10,97.3%
51,10,96.92%
52,10,97.46%
53,10,97.08%
54,10,96.88%
55,10,97.53%
56,10,97.48%
57,10,97.6%
58,10,97.32%
59,10,97.6%
60,10,97.37%
61,10,97.22%
62,10,97.64%
63,10,97.52%
64,10,97.38%
65,10,97.55%
66,10,97.4%
67,10,97.62%
68,10,97.74%
69,10,97.74%
70,10,97.73%
71,10,97.87%
72,10,97.75%
73,10,97.87%
74,10,97.57%
75,10,97.55%
76,10,97.92%
77,10,97.63%
78,10,97.88%
79,10,97.8%
80,10,97.86%
81,10,97.77%
82,10,97.95%
83,10,97.69%
84,10,98.05%
85,10,97.85%
86,10,97.95%
87,10,97.69%
88,10,97.98%
89,10,98.12%
90,10,98.1%
91,10,98.09%
92,10,98.01%
93,10,98.0%
94,10,97.94%
95,10,98.11%
96,10,98.41%
97,10,98.09%
98,10,98.23%
99,10,98.18%
100,10,98.05%
